Label,Matrix
Youtube,"[[-1.9073486328125e-06, 5.972417116165161, 0.0023794474668579033, 0.09481284554922456, 51.131058003398614, 89.0, 1412.0, 1242.074942084942, 430.56725058861224, -2.1757881672659827, 25900, 32169741.0, 420.2818618433165, 522021.569208389], [9.5367431640625e-07, 5.992645025253296, 0.0027196397213849126, 0.10185753631456705, 47.76948023385541, 89.0, 1412.0, 1401.388160508542, 94.846296582863, -10.196688837338659, 22653, 31745646.0, 367.71199447807965, 515307.23553856317], [3.2901763916015625e-05, 5.990344047546387, 0.018976704837801422, 0.26815998283153986, 18.018628122161758, 97.0, 1412.0, 130.61133353865105, 59.8635330903881, 10.00483540120466, 3247, 424095.0, 52.712421888966574, 6884.839716969905]]"
Youtube,"[[0.0, 9.354390859603882, 0.0037310381114650033, 0.13755754673724702, 49.77481967685143, 92.0, 1412.0, 1234.8387978142077, 431.0302781748984, -2.0792607989623995, 13908, 17174138.0, 268.04119292193167, 330987.6644324042], [9.5367431640625e-07, 9.381728887557983, 0.004290766650899462, 0.1490603499789236, 46.17156968468752, 92.0, 1412.0, 1396.9958629819625, 109.42852008898572, -8.382633332293578, 12086, 16884092.0, 233.0778689625634, 325608.81869335304], [3.1948089599609375e-05, 9.38460087776184, 0.028493985181847228, 0.38011192681569533, 17.939632374690397, 97.0, 1412.0, 159.19099890230515, 85.48468235820114, 4.888601871955904, 1822, 290046.0, 35.11439844001722, 5589.8961635198875]]"
Youtube,"[[-1.1920928955078125e-05, 7.244797945022583, 0.002866767968522552, 0.104781484253723, 48.48901157127419, 93.0, 1412.0, 1228.5449118552374, 440.18785775952523, -2.0324602538864576, 21442, 26342460.0, 348.84115163707656, 428567.0218894517], [9.5367431640625e-07, 7.267063856124878, 0.0033155147853845554, 0.11336155407299299, 44.99084579891239, 93.0, 1412.0, 1398.3421464414828, 104.1362785450977, -8.837675779158092, 18533, 25915475.0, 301.62856311937855, 421779.9323804121], [3.1948089599609375e-05, 7.268002986907959, 0.021136991751407166, 0.28425262403416174, 17.796192659360152, 97.0, 1412.0, 146.78068064627018, 72.4257827690667, 6.148204685983777, 2909, 426985.0, 47.3266910788292, 6946.643929286313]]"
Youtube,"[[-1.9073486328125e-06, 8.704989910125732, 0.003630773843514152, 0.14359421009777035, 48.22943771231281, 91.0, 1412.0, 1233.5395714285714, 425.0145190862332, -2.0700359824233847, 14000, 17269554.0, 275.4430534031514, 339769.9060479005], [9.5367431640625e-07, 8.73583197593689, 0.004148993878456472, 0.15424106046682015, 45.06239682769264, 91.0, 1412.0, 1387.0036749693752, 133.53992275933712, -6.423718364890658, 12245, 16983860.0, 241.04197353697947, 334326.10311766143], [3.600120544433594e-05, 8.704989910125732, 0.02896061631401697, 0.40548326607763974, 16.979812866824165, 97.0, 1412.0, 162.788603988604, 75.68514241125425, 5.739086295255513, 1755, 285694.0, 34.549338127977514, 5624.238522583708]]"
Youtube,"[[0.0, 10.431927919387817, 0.0055584958845872594, 0.20263847325188045, 43.95538845897543, 93.0, 1412.0, 1228.8039438756161, 441.26097049252945, -2.048317491926763, 10548, 12961424.0, 179.9218411700521, 221088.6680191222], [9.5367431640625e-07, 10.451287031173706, 0.006411113776572227, 0.2182084192786605, 40.88121673855567, 93.0, 1412.0, 1396.9084445416759, 108.62421417264642, -8.34260435887812, 9142, 12770537.0, 155.99620160789442, 217912.41134249346], [3.314018249511719e-05, 10.431927919387817, 0.041712702550922, 0.5540911517462598, 15.952001376656291, 97.0, 1412.0, 135.7660028449502, 74.51942768891827, 9.071782808259746, 1406, 190887.0, 23.990575593863618, 3257.104554328481]]"
Youtube,"[[0.0, 15.403187990188599, 0.012121645987902288, 0.35145997529684625, 35.13966224413483, 92.0, 1412.0, 1241.168649979483, 422.2685668945053, -2.1879469364754964, 4874, 6049456.0, 82.51397651713793, 102413.76083821485], [9.5367431640625e-07, 15.423042058944702, 0.013719167961950196, 0.3746272154375144, 32.99130633096641, 92.0, 1412.0, 1387.014169570267, 135.11513921289298, -6.628380054511651, 4305, 5971096.0, 72.90765334906293, 101123.94826526742], [3.1948089599609375e-05, 15.423517942428589, 0.10395604413999639, 1.0255519614863902, 11.891868359732934, 97.0, 1412.0, 137.7152899824253, 103.56604641523626, 6.948702421780563, 569, 78360.0, 9.636385952039715, 1327.077685767719]]"
Youtube,"[[-3.0994415283203125e-06, 5.99469780921936, 0.002513551573461547, 0.09443077224809969, 49.139889897323286, 89.0, 1412.0, 1242.5113712938005, 421.3080607032707, -2.158385548067887, 23744, 29502190.0, 397.860194409927, 494345.81573949644], [9.5367431640625e-07, 6.030000925064087, 0.002889489972821204, 0.10186462203876072, 45.74549345363717, 89.0, 1412.0, 1399.914321693224, 99.97731360697284, -9.526651363879523, 20647, 28904031.0, 346.09860042389823, 484508.38745139574], [3.0040740966796875e-05, 5.99469780921936, 0.019276245157848034, 0.2620226245825328, 17.647679606684072, 97.0, 1412.0, 193.1414271876009, 166.9354099046771, 2.5337544779173515, 3097, 598159.0, 51.89407943427998, 10022.896564523564]]"
Google Doc,"[[-1.9073486328125e-06, 4.341797828674316, 0.04219373889253972, 0.20487898550532763, 14.261594267929203, 80.0, 1412.0, 276.115690527838, 333.3850861735523, 2.589525473512988, 2766, 763736.0, 23.708770303588267, 6546.363483941174], [0.001255035400390625, 4.3602118492126465, 0.07972917569799938, 0.28061610305769313, 10.2943730566222, 80.0, 1412.0, 248.72199453551912, 316.9694459725966, 3.0025448537028083, 1464, 364129.0, 12.551033147385548, 3121.7179978991476], [2.193450927734375e-05, 4.341797828674316, 0.08958634754770266, 0.29307967953964065, 9.876280897796748, 87.0, 1412.0, 306.9178187403994, 348.36388293844226, 2.232750821912866, 1302, 399607.0, 11.170994988663697, 3428.5774150805946]]"
Google Doc,"[[1.0967254638671875e-05, 3.5862808227539062, 0.052428919756503836, 0.19309320056035872, 10.607519345029194, 80.0, 1412.0, 306.6342342342342, 369.01310738591906, 2.2498873003971323, 2220, 680728.0, 19.082038273798165, 5851.206193714449], [0.0006289482116699219, 3.6043319702148438, 0.09615667535928822, 0.25760378693667974, 7.8945747179173775, 80.0, 1412.0, 269.12582781456956, 340.5094120050866, 2.6615839269327517, 1208, 325104.0, 10.408310152931836, 2801.145086058569], [1.6927719116210938e-05, 3.5862808227539062, 0.11507395938643127, 0.2763605582060971, 7.281400437302912, 87.0, 1412.0, 351.40711462450594, 395.7620760241528, 1.8887645400549848, 1012, 355624.0, 8.69865888877646, 3056.770621207747]]"
Google Doc,"[[2.002716064453125e-05, 5.092674016952515, 0.048452191465482936, 0.22523082741098852, 14.323111148566165, 80.0, 1412.0, 288.8425849212925, 352.5075520131342, 2.500169141734452, 2414, 697266.0, 20.647454565479556, 5963.864148738057], [0.0013489723205566406, 5.1152729988098145, 0.08822261900272009, 0.3030803638577519, 10.540993384925008, 80.0, 1412.0, 249.9494720965309, 317.2721348503705, 2.959783012956702, 1326, 331433.0, 11.3435163033448, 2835.3059117394246], [2.002716064453125e-05, 5.092674016952515, 0.10753887842418737, 0.32807845573641425, 9.749586445145045, 87.0, 1412.0, 336.2435661764706, 385.9191740171082, 2.103179531727976, 1088, 365833.0, 9.307517224173946, 3129.592783705172]]"
Google Doc,"[[1.9073486328125e-06, 9.54417109489441, 0.062111373388334466, 0.33730201828047823, 19.115294139461103, 78.0, 1412.0, 231.2710280373832, 247.59307464461173, 3.3829293768178057, 1819, 420682.0, 16.10896685136607, 3725.5373243355584], [1.9073486328125e-06, 9.563352108001709, 0.11390318158416286, 0.45422428938425136, 14.166956563636033, 78.0, 1412.0, 160.92943548387098, 92.39845701827893, 3.268635841975285, 992, 159642.0, 8.788245137788156, 1414.2873289181216], [1.9073486328125e-05, 9.54417109489441, 0.13670517774817442, 0.4919178124707262, 13.109747522572764, 97.0, 1412.0, 315.6469165659008, 333.9763636649528, 2.2438616576946124, 827, 261040.0, 7.323867831819538, 2311.756298450027]]"
Google Doc,"[[9.5367431640625e-07, 3.384873151779175, 0.034363966334872015, 0.11549515177760346, 13.300283009093688, 74.0, 1434.0, 199.37729923732616, 200.5917308403688, 4.102934204803574, 2229, 444412.0, 29.113310823461944, 5804.5332838386585], [9.5367431640625e-07, 3.3994791507720947, 0.05691339925319289, 0.1472460035520649, 10.405198620949454, 74.0, 1294.0, 177.08618127786033, 129.31661734201603, 3.412211790938047, 1346, 238358.0, 17.583618401911732, 3113.8158358416613], [2.86102294921875e-06, 3.4086501598358154, 0.08659259180903706, 0.1782997222658662, 8.563789267711318, 74.0, 1434.0, 233.35673839184597, 272.33972735878194, 3.290683717250997, 883, 206054.0, 11.56142535906393, 2697.9365129519356]]"
Google Doc,"[[9.775161743164062e-06, 6.478701114654541, 0.05658825964253238, 0.2983256302395565, 15.07036692022902, 80.0, 1412.0, 311.015873015873, 373.68273767799815, 2.2026667647605374, 2016, 627008.0, 17.68028004811882, 5498.847734330796], [0.0013020038604736328, 6.4985880851745605, 0.10197396333827528, 0.3999901982473399, 11.108235655496387, 80.0, 1412.0, 279.24575513851653, 355.51799288980806, 2.5124034670119193, 1119, 312476.0, 9.815196169855517, 2740.851866283979], [1.811981201171875e-05, 6.478701114654541, 0.12726042765591825, 0.4404969533828047, 10.065811288029034, 88.0, 1412.0, 350.6488294314381, 391.57736126656926, 1.9029792193432906, 897, 314532.0, 7.866672223790963, 2758.4394067931094]]"
Google Drive,"[[0.0, 4.404263019561768, 0.0008770420018403394, 0.05140257303664982, 76.43689634153594, 92.0, 1412.0, 1232.5345512311358, 441.00471747995203, -2.091883422102769, 10072, 12414088.0, 1140.3094639788117, 1405470.8134497416], [9.5367431640625e-07, 4.421344041824341, 0.001006455025262578, 0.05533788759034251, 71.27460160084522, 92.0, 1412.0, 1399.0775989957776, 100.55653489623123, -8.700710963166737, 8763, 12260117.0, 993.6997720621687, 1390263.0912193905], [4.601478576660156e-05, 4.404263019561768, 0.006742413619971786, 0.14255999075089096, 27.47622429670333, 97.0, 280.0, 117.62490450725745, 7.464959044211296, 7.904755827354931, 1309, 153971.0, 148.42823095716153, 17458.85649251728]]"
Google Drive,"[[9.5367431640625e-07, 18.4583261013031, 0.006956007426649471, 0.2572134727839841, 63.82166408966715, 79.0, 1412.0, 1086.6959281437125, 563.0468859728995, -1.1658842650860772, 8350, 9073911.0, 143.77784747493635, 156242.80140828108], [0.0013811588287353516, 18.483016967773438, 0.028097858618212807, 0.5176028657042229, 31.689508515918284, 79.0, 1412.0, 166.90807934204162, 273.4515295453286, 4.137845260847537, 2067, 344999.0, 35.60712724410294, 5943.117219200905], [2.09808349609375e-05, 18.4583261013031, 0.009244779688808729, 0.296567328854354, 55.31465892177415, 100.0, 1412.0, 1389.2904663377367, 163.79984471673671, -7.415954533972941, 6283, 8728912.0, 108.18637313593115, 150302.2967854062]]"
Google Drive,"[[9.5367431640625e-07, 3.6464221477508545, 0.0018946994046088552, 0.04295659280368087, 77.30469948489241, 74.0, 1434.0, 935.7122280110328, 647.406995790609, -0.548912133657629, 13052, 12212916.0, 527.8286466171626, 493895.7189341933], [9.5367431640625e-07, 3.6604931354522705, 0.0054011707018305375, 0.07272564679637354, 45.83505648790496, 74.0, 1294.0, 80.13109023377758, 51.640556459177816, 19.6298918038523, 4577, 366760.0, 185.1855063809671, 14839.116521801068], [2.86102294921875e-06, 3.6602530479431152, 0.002918069616420837, 0.05390578527757819, 61.09269457187216, 74.0, 1434.0, 1397.7765191740414, 187.66135970552625, -5.505037979699015, 8475, 11846156.0, 342.73274441315147, 479063.78249278123]]"
Google Drive,"[[1.6927719116210938e-05, 5.313705921173096, 0.001920677476967979, 0.05195165270169822, 91.20612191414342, 92.0, 1412.0, 969.5765523107457, 619.6249003843525, -0.6867273794691068, 14108, 13678786.0, 520.6865279497747, 504845.44860419526], [0.0015680789947509766, 5.333546876907349, 0.002893996490962844, 0.06404989366555133, 74.23620858339302, 92.0, 1412.0, 1410.1318657832871, 48.39605527334725, -26.424381759941735, 9358, 13196014.0, 345.5798495207918, 487313.1579818617], [0.00049591064453125, 5.313705921173096, 0.005701870083884205, 0.0894866574513246, 52.887097166243784, 98.0, 281.0, 101.63621052631579, 4.112352938710487, 19.592517336037897, 4750, 482772.0, 175.41798671868239, 17828.81942824247]]"
Google Drive,"[[0.0, 0.29636502265930176, 0.00019388744587915026, 0.003621421719508005, 80.30096123799358, 91.0, 1412.0, 1273.4627106227106, 392.55466192898075, -2.539071091321861, 6825, 8691383.0, 5158.38731632583, 6569013.894290102], [1.1920928955078125e-06, 0.3076009750366211, 0.0002096588137872056, 0.003932849941272739, 77.77615440162452, 91.0, 1412.0, 1401.3160723009282, 88.50759174441117, -9.509119884593241, 6141, 8605482.0, 4770.430817492997, 6684881.376352593], [4.8160552978515625e-05, 0.29686594009399414, 0.0019371712015802654, 0.011434089947338313, 25.18079679150217, 97.0, 1412.0, 125.58625730994152, 53.86546364519263, 21.333468065387915, 684, 85901.0, 516.9724431306765, 64924.63426515826]]"
